id,player name,player names
1212cbec,Najibullah Zadran,"['Najibullah Zadran', 'Najibullah Zadaran', 'N Zadran']"
fccebff9,Shapoor Zadran,"['Shapoor Zadran', 'S Zadran']"
61646132,Samiullah Shenwari,"['Samiullah Shenwari', 'S Shinwari']"
0087a35d,Javed Ahmadi,"['Javed Ahmadi', 'J Ahmadi']"
b2e1d224,G Malla,['G Malla']
5b1d6583,AK Sah,"['AK Sah', 'A Sah']"
12c3ba4d,P Khadka,"['P Khadka', 'Khadka']"
1747ea18,DS Airee,"['DS Airee', 'Airee']"
cd4d7695,Aarif Sheikh,"['Aarif Sheikh', 'A Sheikh']"
1a3cc554,RK Paudel,"['RK Paudel', 'R Paudel', 'R Kumar']"
1adb8ee8,Sompal Kami,"['Sompal Kami', 'S Kami']"
98d05440,B Regmi,['B Regmi']
f53b3e1d,Karan KC,"['Karan KC', 'Karan']"
b410bd3d,S Lamichhane,"['S Lamichhane', 'Lamichhane', 'Sandeep Lamichhane']"
6ad2d5f7,LN Rajbanshi,"['LN Rajbanshi', 'L Rajbanshi']"
b2664905,TT Beaumont,"['TT Beaumont', 'Tammy Beaumont', 'T Beaumont']"
7b01ce83,L Lee,"['L Lee', 'Lizelle Lee']"
63e3b6b3,M Kapp,"['M Kapp', 'Marizanne Kapp', 'Kapp']"
f3a18a0c,NR Sciver,"['NR Sciver', 'Natalie Sciver', 'N Sciver']"
3a9e9cb2,SIR Dunkley,"['SIR Dunkley', 'S Dunkley']"
9706e64b,LA Marsh,"['LA Marsh', 'L Marsh']"
c64b7c5b,BF Smith,['BF Smith']
4ed7d23f,RM Farrell,"['RM Farrell', 'R Farrell']"
c7bf22fa,HV Jones,['HV Jones']
4381402,GJ Gibbs,['GJ Gibbs']
53d50717,A Hartley,['A Hartley']
e6f0408a,RH Priest,"['RH Priest', 'Rachel Priest', 'R Priest']"
4ba0289e,HC Knight,"['HC Knight', 'Heather Knight', 'H Knight']"
a28132bd,FC Wilson,"['FC Wilson', 'F Wilson']"
92cf79a8,SR Taylor,"['SR Taylor', 'Stafanie Taylor', 'Taylor', 'S Taylor']"
e19307f3,SN Luff,['SN Luff']
8d742853,GM Hennessy,['GM Hennessy']
e7f06080,AJ Macleod,['AJ Macleod']
32497ecd,A Shrubsole,['A Shrubsole']
2479daa6,FR Davies,"['FR Davies', 'F Davies']"
efc40724,C Nicholas,['C Nicholas']
8d6b36e3,HR Huddleston,"['HR Huddleston', 'H Huddleston']"
f3ca5af8,G Kansonkho,['G Kansonkho']
45ca12a7,D Kansonkho,['D Kansonkho']
602ebd4c,Sami Sohail,['Sami Sohail']
89394502,MA Baig,['MA Baig']
792805ee,M Abdulla,['M Abdulla']
8c8a3f08,GM Ntambalika,['GM Ntambalika']
ef4f539a,C Chete,['C Chete']
5f77f4ec,A Kansonkho,['A Kansonkho']
00029c30,M Mwamadi,['M Mwamadi']
e5117568,B Pondani,['B Pondani']
1abfa11e,L Nakomo,['L Nakomo']
26c9b5be,R Baaleri,['R Baaleri']
a1448a10,JK Vifah,['JK Vifah']
c74c583b,R Bakum,['R Bakum']
